location,size,total_sqft,bath,price,bhk,price_per_sqft
"Dhanmondi, Dhaka",3 BHK,1596.0,3.0,95.0,3,5952.380952380952
"Dhanmondi, Dhaka",6 Bedroom,1200.0,5.0,150.0,6,12500.0
"Gawair, Dakshin Khan, Dhaka",2 BHK,1296.0,2.0,89.06,2,6871.913580246914
"Bashabo, Dhaka",6 Bedroom,1200.0,7.0,170.0,6,14166.666666666666
"Boshoty Housing, Borobag, Section 2, Mirpur, Dhaka",3 BHK,1639.0,3.0,123.0,3,7504.5759609518
"Boshoty Housing, Borobag, Section 2, Mirpur, Dhaka",2 BHK,1219.0,2.0,61.25,2,5024.610336341263
"Suchona Model Town, Bochila, Mohammadpur, Dhaka",3 BHK,1200.0,3.0,50.0,3,4166.666666666667
"Suchona Model Town, Bochila, Mohammadpur, Dhaka",2 BHK,1218.0,2.0,73.0,2,5993.431855500821
"Agargaon, Dhaka",2 BHK,920.0,2.0,37.0,2,4021.7391304347825
"Rampura, Dhaka",3 BHK,2559.0,3.0,141.0,3,5509.964830011723
"Shyamoli Housing, Shekhertek, Mohammadpur, Dhaka",1 BHK,525.0,1.0,26.0,1,4952.380952380952
"Section 1, Mirpur, Dhaka",3 BHK,1427.0,2.0,48.51,3,3399.4393833216536
"Latif Real Estate, Katashur, Mohammadpur, Dhaka",3 BHK,1270.0,3.0,45.0,3,3543.3070866141734
"Block A, Nobodoy Housing Society, Mohammadpur, Dhaka",2 BHK,920.0,2.0,65.0,2,7065.217391304348
"Sector 13, Uttara, Dhaka",4 Bedroom,2700.0,3.0,68.0,4,2518.5185185185187
"Badda, Dhaka",3 BHK,1740.0,3.0,199.0,3,11436.781609195403
"Farmgate, Tejgaon, Dhaka",3 BHK,1355.0,2.0,40.0,3,2952.029520295203
"Agargaon, Dhaka",3 BHK,1530.0,2.0,90.0,3,5882.35294117647
"Kalachandpur, Dhaka",3 BHK,1372.0,2.0,90.0,3,6559.766763848396
"Purbanchal Road, Uttar Badda, Badda, Dhaka",4 BHK,2363.0,5.0,120.0,4,5078.290308929327
"Block E, South Banasree Project, Banasree, Dhaka",4 BHK,3895.0,4.0,220.0,4,5648.267008985879
"East Rampura, Rampura, Dhaka",3 BHK,1950.0,3.0,131.0,3,6717.948717948718
"Baitul Aman Housing Society, Adabor, Dhaka",2 BHK,885.0,2.0,40.0,2,4519.774011299435
"West Nakhalpara, Tejgaon, Dhaka",2 BHK,600.0,2.0,27.0,2,4500.0
"Dhanmondi, Dhaka",5 Bedroom,1270.0,4.0,128.0,5,10078.740157480315
"Dhanmondi, Dhaka",2 Bedroom,1380.0,2.0,225.0,2,16304.347826086956
"Dhanmondi, Dhaka",2 BHK,1339.0,2.0,62.0,2,4630.321135175504
"Dhanmondi, Dhaka",2 BHK,1130.0,2.0,36.0,2,3185.8407079646017
"Dhanmondi, Dhaka",2 BHK,1085.0,2.0,43.0,2,3963.1336405529955
"Dhanmondi, Dhaka",3 BHK,1430.0,3.0,72.0,3,5034.965034965035
"Dhanmondi, Dhaka",4 BHK,1451.5,4.0,121.0,4,8336.203926972097
"Dhanmondi, Dhaka",5 BHK,6200.0,5.0,720.0,5,11612.90322580645
"PC Culture Housing, Mohammadpur, Dhaka",3 BHK,1490.0,2.0,59.6,3,4000.0
"East Rampura, Rampura, Dhaka",4 BHK,1650.0,4.0,99.0,4,6000.0
"PC Culture Housing, Mohammadpur, Dhaka",2 BHK,1286.0,2.0,57.0,2,4432.348367029549
"Block E, Section 12, Mirpur, Dhaka",2 BHK,925.0,2.0,63.0,2,6810.810810810811
"Mohammadpur, Dhaka",4 BHK,3016.0,4.0,230.0,4,7625.994694960213
"Block D, Section 12, Mirpur, Dhaka",2 BHK,1000.0,2.0,44.0,2,4400.0
"Block D, Section 12, Mirpur, Dhaka",2 BHK,1215.0,2.0,39.0,2,3209.8765432098767
"Swapnodhara Housing, Bochila, Mohammadpur, Dhaka",4 Bedroom,1200.0,3.0,95.0,4,7916.666666666667
"Block D, Mansurabad Housing Society, Adabor, Dhaka",2 BHK,1336.0,2.0,100.0,2,7485.029940119761
"South Maniknagar, Maniknagar, Dhaka",1 BHK,673.0,1.0,36.85,1,5475.482912332838
"West Maniknagar, Maniknagar, Dhaka",2 Bedroom,1200.0,2.0,58.0,2,4833.333333333333
"Katabon, New Market, Dhaka",6 Bedroom,600.0,7.0,63.0,6,10500.0
"Sector 5, Uttara, Dhaka",3 BHK,1600.0,3.0,160.0,3,10000.0
"PC Culture Housing, Mohammadpur, Dhaka",2 Bedroom,1200.0,2.0,79.0,2,6583.333333333333
"Maniknagar, Dhaka",6 Bedroom,2480.0,4.0,750.0,6,30241.935483870966
"West Nakhalpara, Tejgaon, Dhaka",3 BHK,2500.0,3.0,270.0,3,10800.0
"West Nakhalpara, Tejgaon, Dhaka",5 Bedroom,2400.0,5.0,100.0,5,4166.666666666667
"Badda, Dhaka",2 BHK,1143.0,2.0,65.0,2,5686.789151356081
"Block L, Bashundhara R-A, Dhaka",2 BHK,1470.0,2.0,61.74,2,4200.0
"Shyamoli Housing (2nd Project), Adabor, Dhaka",4 Bedroom,1584.0,3.0,145.0,4,9154.040404040405
"Block A, Section 10, Mirpur, Dhaka",3 BHK,1785.0,3.0,94.0,3,5266.106442577031
"Mohammadi Housing LTD., Mohammadpur, Dhaka",3 BHK,2292.0,3.0,286.0,3,12478.184991273996
"Mohammadpur, Dhaka",3 BHK,1460.0,3.0,71.0,3,4863.013698630137
"Bashundhara R-A, Dhaka",3 BHK,1500.0,2.0,80.0,3,5333.333333333333
"Badda, Dhaka",5 Bedroom,1200.0,4.0,140.0,5,11666.666666666666
"Adabor, Dhaka",5 BHK,3300.0,3.0,250.0,5,7575.757575757576
"North Shahjahanpur, Dhaka",2 BHK,1230.0,2.0,48.0,2,3902.439024390244
"Block L, Bashundhara R-A, Dhaka",1 BHK,650.0,1.0,20.0,1,3076.923076923077
"Block A, Bashundhara R-A, Dhaka",2 BHK,1480.0,2.0,120.0,2,8108.108108108108
"Naya Paltan, Motijheel, Dhaka",2 BHK,1220.0,2.0,43.92,2,3600.0
"Shahjahanpur, Dhaka",3 BHK,1570.0,3.0,115.0,3,7324.84076433121
"Joar Sahara, Dhaka",3 BHK,3000.0,3.0,400.0,3,13333.333333333334
"Block L, Bashundhara R-A, Dhaka",3 BHK,1665.0,3.0,86.91,3,5219.81981981982
"Block B, Chandrima Model Town, Mohammadpur, Dhaka",3 Bedroom,1350.0,3.0,380.0,3,28148.14814814815
"Hazaribag, Dhaka",4 Bedroom,4000.0,5.0,600.0,4,15000.0
"Hazaribag, Dhaka",2 Bedroom,1100.0,2.0,68.0,2,6181.818181818182
"Mohakhali, Dhaka",3 BHK,1350.0,2.0,87.01,3,6445.185185185185
"Section 2, Mirpur, Dhaka",3 BHK,1719.0,3.0,116.0,3,6748.109365910413
"Lake View Society, South Pirerbag, Pirerbag, Mirpur, Dhaka",1 BHK,664.0,1.0,35.0,1,5271.084337349397
"Lake View Society, South Pirerbag, Pirerbag, Mirpur, Dhaka",2 BHK,1011.0,2.0,50.53,2,4998.021760633037
"Section 12, Mirpur, Dhaka",6 Bedroom,2400.0,6.0,130.0,6,5416.666666666667
"Kalabagan, Dhaka",3 BHK,1680.0,3.0,85.0,3,5059.523809523809
"Block K, South Banasree Project, Banasree, Dhaka",2 BHK,717.0,2.0,49.475,2,6900.278940027894
"Shegunbagicha, Dhaka",4 Bedroom,700.0,4.0,110.0,4,15714.285714285714
"West Kalachandpur, Kalachandpur, Dhaka",3 BHK,1520.0,2.0,150.0,3,9868.421052631578
"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",3 BHK,1350.0,2.0,53.0,3,3925.925925925926
"North Ibrahimpur, Ibrahimpur, Dhaka",3 BHK,1760.0,3.0,150.0,3,8522.727272727272
"Bonobithi Abashik Alaka, East Azampur, Dakshin Khan, Dhaka",2 BHK,875.0,2.0,33.0,2,3771.4285714285716
"Dakshin Khan, Dhaka",2 BHK,1231.0,2.0,48.0,2,3899.268887083672
"Dakshin Khan, Dhaka",2 BHK,1174.0,2.0,74.0,2,6303.236797274276
"Agargaon, Dhaka",3 BHK,1560.0,3.0,75.0,3,4807.692307692308
"Rajabazar, Tejgaon, Dhaka",2 BHK,1464.0,2.0,56.0,2,3825.136612021858
"East Rampura, Rampura, Dhaka",3 Bedroom,2200.0,3.0,130.0,3,5909.090909090909
"Bot Tola, Khilkhet, Dhaka",2 BHK,850.0,2.0,55.0,2,6470.588235294118
"Wari, Sutrapur, Dhaka",3 BHK,1750.0,3.0,180.0,3,10285.714285714286
"Nadda, Dhaka",3 BHK,2024.0,3.0,157.0,3,7756.916996047431
"Shah Ali Bag, Section 1, Mirpur, Dhaka",2 Bedroom,1500.0,1.0,160.0,2,10666.666666666666
"Block D, Chandrima Model Town, Mohammadpur, Dhaka",6 Bedroom,2100.0,6.0,275.0,6,13095.238095238095
"Block J, Eastern Housing, Pallabi, Mirpur, Dhaka",3 BHK,2408.0,4.0,260.0,3,10797.34219269103
"Ibrahimpur, Dhaka",2 BHK,1080.0,2.0,44.0,2,4074.074074074074
"Naddapara, Dakshin Khan, Dhaka",3 BHK,2070.0,3.0,225.0,3,10869.565217391304
"Fakirapool, Motijheel, Dhaka",2 BHK,1020.0,2.0,29.46,2,2888.235294117647
"Suchona Model Town, Bochila, Mohammadpur, Dhaka",3 BHK,1500.0,2.0,55.0,3,3666.6666666666665
"Gawair, Dakshin Khan, Dhaka",4 Bedroom,1575.0,5.0,158.0,4,10031.746031746032
"Dhanmondi, Dhaka",4 Bedroom,3250.0,4.0,180.0,4,5538.461538461538
"Mohakhali, Dhaka",2 BHK,1175.0,2.0,47.0,2,4000.0
"Ashkona, Dakshin Khan, Dhaka",2 BHK,1030.0,2.0,34.5,2,3349.5145631067962
"Dhanmondi, Dhaka",2 BHK,1440.0,2.0,115.0,2,7986.111111111111
"Rayer Bazaar, Hazaribag, Dhaka",2 BHK,1500.0,2.0,84.0,2,5600.0
"Naya Paltan, Motijheel, Dhaka",1 Bedroom,1380.0,1.0,62.1,1,4500.0
"Hazaribag, Dhaka",2 BHK,1200.0,2.0,50.0,2,4166.666666666667
"Sultanganj, Rayer Bazaar, Hazaribag, Dhaka",1 BHK,705.0,1.0,36.5,1,5177.304964539007
"Bashabo, Dhaka",3 BHK,2240.0,5.0,155.0,3,6919.642857142857
"Boshoty Housing, Borobag, Section 2, Mirpur, Dhaka",3 BHK,1584.01,3.0,103.0,3,6502.484201488627
"Section 12, Mirpur, Dhaka",3 BHK,1340.0,3.0,77.0,3,5746.268656716418
"North Ibrahimpur, Ibrahimpur, Dhaka",3 BHK,1800.0,3.0,70.0,3,3888.8888888888887
"Shegunbagicha, Dhaka",2 BHK,1200.0,2.0,45.0,2,3750.0
"West Kalachandpur, Kalachandpur, Dhaka",1 BHK,685.0,1.0,40.0,1,5839.41605839416
"Khilkhet, Dhaka",2 BHK,925.0,2.0,42.0,2,4540.540540540541
"Arambagh, Motijheel, Dhaka",2 BHK,1230.0,2.0,57.0,2,4634.1463414634145
"Mohakhali, Dhaka",5 Bedroom,1200.0,5.0,185.0,5,15416.666666666666
"Dhanmondi, Dhaka",2 BHK,1125.0,2.0,52.0,2,4622.222222222223
"Mirpur, Dhaka",2 BHK,1100.0,2.0,54.0,2,4909.090909090909
"Suchona Model Town, Bochila, Mohammadpur, Dhaka",3 Bedroom,2400.0,3.0,149.0,3,6208.333333333333
"Lake View Society, South Pirerbag, Pirerbag, Mirpur, Dhaka",3 BHK,1400.0,2.0,41.58,3,2970.0
"Section 12, Mirpur, Dhaka",7 Bedroom,1200.0,7.0,225.0,7,18750.0
"Dhanmondi, Dhaka",3 BHK,1858.0,3.0,98.3,3,5290.635091496232
"Shegunbagicha, Dhaka",1 Bedroom,1260.0,1.0,41.0,1,3253.968253968254
"Agargaon, Dhaka",4 BHK,3530.0,4.0,290.0,4,8215.297450424929
"West Shewrapara, Mirpur, Dhaka",2 BHK,1185.0,2.0,60.0,2,5063.291139240507
"West Shewrapara, Mirpur, Dhaka",2 Bedroom,1200.0,2.0,216.0,2,18000.0
"Uttar Badda, Badda, Dhaka",2 BHK,1255.0,2.0,58.0,2,4621.5139442231075
"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",4 BHK,3436.0,6.0,475.0,4,13824.214202561117
"Block J, Bashundhara R-A, Dhaka",3 BHK,1335.0,3.0,89.0,3,6666.666666666667
"East Namapara, Namapara, Khilkhet, Dhaka",3 BHK,1999.0,3.0,132.0,3,6603.301650825412
"Mohakhali, Dhaka",2 Bedroom,1200.0,2.0,125.0,2,10416.666666666666
"South Baridhara Residential Area,D. I. T. Project, Badda, Dhaka",3 BHK,1397.0,3.0,110.0,3,7874.0157480314965
"PC Culture Housing, Mohammadpur, Dhaka",10 Bedroom,1200.0,10.0,105.0,10,8750.0
"Block D, Section 12, Mirpur, Dhaka",4 BHK,3950.0,4.0,450.0,4,11392.405063291139
"Block E, Section 12, Mirpur, Dhaka",2 Bedroom,1200.0,2.0,130.0,2,10833.333333333334
"Middle Bashabo, Bashabo, Dhaka",3 Bedroom,1616.0,3.0,95.0,3,5878.712871287129
"East Merul Badda, Merul Badda, Badda, Dhaka",8 Bedroom,1200.0,7.0,350.0,8,29166.666666666668
"Mohammadi Housing LTD., Mohammadpur, Dhaka",4 Bedroom,1270.0,2.0,175.0,4,13779.527559055117
"PC Culture Housing, Mohammadpur, Dhaka",2 BHK,1140.0,2.0,38.55,2,3381.578947368421
"Purana Paltan, Motijheel, Dhaka",1 BHK,525.0,1.0,30.0,1,5714.285714285715
"Block B, Section 13, Mirpur, Dhaka",3 Bedroom,1200.0,2.0,98.0,3,8166.666666666667
"Ahmed Nagar, Mirpur, Dhaka",1 Bedroom,700.0,1.0,162.0,1,23142.85714285714
"Mirpur, Dhaka",2 BHK,1205.47,2.0,81.0,2,6719.370867794304
"West Nakhalpara, Tejgaon, Dhaka",3 Bedroom,1200.0,3.0,130.0,3,10833.333333333334
"Shantibag, Malibagh, Dhaka",3 BHK,1700.0,3.0,75.0,3,4411.764705882353
"Block F, aziz Moholla, Mohammadpur, Dhaka",5 Bedroom,750.0,4.0,62.0,5,8266.666666666666
"Shantibag, Malibagh, Dhaka",2 BHK,1090.0,2.0,54.54,2,5003.6697247706425
"Malibagh, Dhaka",4 BHK,3600.0,5.0,220.0,4,6111.111111111111
"Middle Bashabo, Bashabo, Dhaka",1 BHK,2400.0,1.0,650.0,1,27083.333333333332
"Ibrahimpur, Dhaka",1 BHK,923.0,1.0,60.84,1,6591.549295774648
"Block B, Banasree, Dhaka",4 BHK,3595.0,6.0,360.0,4,10013.908205841446
"Block B, Banasree, Dhaka",2 BHK,1050.0,2.0,48.0,2,4571.428571428572
"Ibrahimpur, Dhaka",2 BHK,1495.0,2.0,79.5,2,5317.725752508361
"Block K, South Banasree Project, Banasree, Dhaka",3 BHK,1485.0,3.0,85.0,3,5723.905723905724
"Sector 3, Uttara, Dhaka",3 BHK,1033.0,2.0,31.5,3,3049.3707647628266
"Block B, Banasree, Dhaka",3 BHK,1400.0,2.0,48.0,3,3428.5714285714284
"Malibagh, Dhaka",1 Bedroom,500.0,1.0,70.0,1,14000.0
"Wari, Sutrapur, Dhaka",2 BHK,944.0,2.0,35.0,2,3707.6271186440677
"Middle Bashabo, Bashabo, Dhaka",5 Bedroom,3250.0,5.0,290.0,5,8923.076923076924
"Mohammadi Housing LTD., Mohammadpur, Dhaka",2 BHK,1216.0,2.0,66.48,2,5467.105263157895
"Middle Bashabo, Bashabo, Dhaka",2 BHK,1100.0,2.0,39.5,2,3590.909090909091
"Block G, Bashundhara R-A, Dhaka",3 BHK,1743.0,3.0,93.25,3,5349.971313826735
"Middle Bashabo, Bashabo, Dhaka",2 BHK,1274.0,2.0,48.42,2,3800.6279434850862
"East Namapara, Namapara, Khilkhet, Dhaka",3 BHK,2500.0,3.0,425.0,3,17000.0
"Sobhanbagh, Tejgaon, Dhaka",3 BHK,1512.0,2.0,110.0,3,7275.132275132275
"East Rampura, Rampura, Dhaka",4 BHK,3100.0,5.0,385.0,4,12419.354838709678
"Rupnagar R/A, Mirpur, Dhaka",3 BHK,1650.0,3.0,100.0,3,6060.606060606061
"Block L, Bashundhara R-A, Dhaka",3 BHK,1875.0,3.0,55.0,3,2933.3333333333335
"Ibrahimpur, Dhaka",3 BHK,1350.0,3.0,54.0,3,4000.0
"Block D, Section 12, Mirpur, Dhaka",2 BHK,1219.0,2.0,40.0,2,3281.3781788351107
"Block D, Section 12, Mirpur, Dhaka",4 Bedroom,1200.0,4.0,150.0,4,12500.0
"Section 12, Mirpur, Dhaka",3 Bedroom,2400.0,3.0,85.0,3,3541.6666666666665
"Lalbagh, Dhaka",2 BHK,1141.0,2.0,44.4,2,3891.3234005258546
"Block C, Section 12, Mirpur, Dhaka",2 BHK,1151.0,2.0,43.1,2,3744.5699391833186
"Rampura, Dhaka",3 Bedroom,832.0,3.0,77.0,3,9254.807692307691
"Block K, South Banasree Project, Banasree, Dhaka",2 BHK,915.0,2.0,38.0,2,4153.005464480874
"Kakrail, Dhaka",3 Bedroom,3259.0,3.0,270.0,3,8284.749923289353
"Shyamoli Housing, Shekhertek, Mohammadpur, Dhaka",2 BHK,1115.0,2.0,65.12,2,5840.358744394619
"North Shahjahanpur, Dhaka",3 BHK,2072.0,4.0,139.0,3,6708.494208494209
"Block I, Bashundhara R-A, Dhaka",2 BHK,1200.0,2.0,53.0,2,4416.666666666667
"Baitul Aman Housing Society, Adabor, Dhaka",2 BHK,1300.0,2.0,65.0,2,5000.0
"North Shahjahanpur, Dhaka",2 BHK,1457.0,2.0,85.0,2,5833.905284831846
"Badda, Dhaka",2 BHK,1262.0,2.0,55.0,2,4358.161648177496
"Block C, Dhaka Uddan, Mohammadpur, Dhaka",4 Bedroom,1196.0,3.0,150.0,4,12541.80602006689
"Faydabad, Dakshin Khan, Dhaka",2 BHK,900.0,2.0,22.5,2,2500.0
"Nabi Nagar Housing, Mohammadpur, Dhaka",1 BHK,420.0,1.0,17.0,1,4047.6190476190477
"Block F, Bashundhara R-A, Dhaka",2 BHK,1160.0,2.0,46.39,2,3999.137931034483
"Block K, Bashundhara R-A, Dhaka",2 BHK,1115.0,2.0,50.0,2,4484.304932735426
"Shah Ali Bag, Section 1, Mirpur, Dhaka",3 BHK,1315.0,2.0,85.4,3,6494.296577946768
"Mohammadpur, Dhaka",2 BHK,1500.0,2.0,57.0,2,3800.0
"Sector 14, Uttara, Dhaka",2 BHK,1127.0,2.0,68.0,2,6033.717834960071
"Block C, Bashundhara R-A, Dhaka",3 BHK,1397.0,3.0,104.0,3,7444.523979957051
"Tali office Road, Hazaribag, Dhaka",2 BHK,1173.0,2.0,60.0,2,5115.089514066496
"Sector 14, Uttara, Dhaka",2 BHK,1090.0,2.0,28.0,2,2568.8073394495414
"East Kazipara, Mirpur, Dhaka",3 BHK,2720.0,5.0,210.0,3,7720.588235294118
"South Chalabon, Dakshin Khan, Dhaka",2 BHK,1230.0,2.0,76.0,2,6178.861788617886
"Faydabad, Dakshin Khan, Dhaka",4 BHK,3200.0,3.0,190.0,4,5937.5
"Sector 11, Uttara, Dhaka",2 BHK,858.0,2.0,31.57,2,3679.4871794871797
"Shyamoli, Dhaka",3 BHK,1868.0,3.0,121.0,3,6477.516059957174
"Block F, Banasree, Dhaka",3 BHK,1689.28,3.0,91.2,3,5398.74976321273
"Gawair, Dakshin Khan, Dhaka",4 BHK,600.0,3.0,73.0,4,12166.666666666666
"Block F, Banasree, Dhaka",3 BHK,1425.0,3.0,49.88,3,3500.3508771929824
"Bashabo, Dhaka",6 Bedroom,1200.0,6.0,170.0,6,14166.666666666666
"Bashabo, Dhaka",2 Bedroom,1350.0,2.0,100.0,2,7407.407407407408
"Uttar Badda, Badda, Dhaka",6 Bedroom,4200.0,6.0,180.0,6,4285.714285714285
"Block K, South Banasree Project, Banasree, Dhaka",3 BHK,1310.0,2.0,85.0,3,6488.5496183206105
"Block D, Eastern Housing, Pallabi, Mirpur, Dhaka",2 BHK,970.0,2.0,40.0,2,4123.711340206186
"Merul Badda, Badda, Dhaka",3 BHK,1397.0,3.0,108.0,3,7730.851825340014
"Rajabazar, Tejgaon, Dhaka",2 BHK,1157.0,2.0,40.0,2,3457.216940363008
"Chandmiya Housing, Mohammadpur, Dhaka",2 BHK,1125.0,2.0,61.2,2,5440.0
"Mirpur, Dhaka",2 BHK,1157.0,2.0,42.0,2,3630.077787381158
"Block B, Bashundhara R-A, Dhaka",2 BHK,1241.0,2.0,82.0,2,6607.57453666398
"Gawair, Dakshin Khan, Dhaka",1 BHK,660.0,1.0,62.0,1,9393.939393939394
"Kamlapur, Motijheel, Dhaka",4 BHK,4000.0,4.0,220.0,4,5500.0
"South Pirerbag, Pirerbag, Mirpur, Dhaka",4 BHK,2340.0,4.0,148.0,4,6324.786324786325
"Kachukhet, Dhaka",1 BHK,596.0,1.0,42.0,1,7046.979865771812
"Uttar Badda, Badda, Dhaka",16 BHK,10000.0,16.0,550.0,16,5500.0
"Bashabo, Dhaka",4 Bedroom,1200.0,4.0,110.0,4,9166.666666666666
"Bashabo, Dhaka",3 BHK,1910.0,3.0,190.0,3,9947.643979057591
"Block F, Banasree, Dhaka",2 BHK,1139.0,2.0,80.0,2,7023.705004389815
"Block F, Banasree, Dhaka",4 BHK,3122.0,5.0,225.0,4,7206.91864189622
"Block F, Banasree, Dhaka",2 BHK,1033.0,2.0,28.41,2,2750.242013552759
"Shegunbagicha, Dhaka",2 BHK,1168.0,2.0,64.08,2,5486.301369863014
"Shamibag Road, Shamibag, Sutrapur, Dhaka",2 BHK,877.0,2.0,42.0,2,4789.053591790193
"Shamibag Road, Shamibag, Sutrapur, Dhaka",2 BHK,1340.0,2.0,75.0,2,5597.014925373134
"Sobhanbagh, Tejgaon, Dhaka",3 BHK,1405.0,2.0,70.0,3,4982.20640569395
"Uttar Badda, Badda, Dhaka",3 BHK,1800.0,3.0,65.0,3,3611.1111111111113
"Kachukhet, Dhaka",3 BHK,1750.0,3.0,149.0,3,8514.285714285714
"Gawair, Dakshin Khan, Dhaka",3 BHK,1360.0,2.0,65.0,3,4779.411764705882
"Block F, aziz Moholla, Mohammadpur, Dhaka",3 Bedroom,675.0,2.0,148.0,3,21925.925925925927
"Mohammadpur, Dhaka",2 BHK,985.0,2.0,63.0,2,6395.9390862944165
"Mohammadi Housing LTD., Mohammadpur, Dhaka",2 BHK,1300.0,2.0,129.0,2,9923.076923076924
"Nikunja 2, Nikunja, Dhaka",3 BHK,1850.0,3.0,150.0,3,8108.108108108108
"Block F, Bashundhara R-A, Dhaka",3 BHK,1490.0,2.0,88.0,3,5906.040268456376
"Bashundhara R-A, Dhaka",2 BHK,620.0,1.0,25.0,2,4032.2580645161293
"Mohammadi Housing LTD., Mohammadpur, Dhaka",2 BHK,1130.0,2.0,42.3,2,3743.362831858407
"Block B, Banasree, Dhaka",2 BHK,1080.0,2.0,55.0,2,5092.592592592592
"Block D, Section 12, Mirpur, Dhaka",4 BHK,3126.0,4.0,120.0,4,3838.7715930902114
"Mohammadi Housing LTD., Mohammadpur, Dhaka",3 BHK,1410.0,2.0,52.17,3,3700.0
"Mohammadi Housing LTD., Mohammadpur, Dhaka",3 BHK,1375.0,3.0,59.0,3,4290.909090909091
"Mohammadi Housing LTD., Mohammadpur, Dhaka",3 BHK,1290.0,2.0,94.5,3,7325.581395348837
"Block D, Section 12, Mirpur, Dhaka",3 BHK,1318.0,2.0,85.28,3,6470.40971168437
"Bashabo, Dhaka",2 BHK,1128.0,2.0,68.0,2,6028.368794326241
"Shantibag, Malibagh, Dhaka",4 Bedroom,4428.0,4.0,255.0,4,5758.807588075881
"Block A, Banasree, Dhaka",2 BHK,1051.0,2.0,56.74,2,5398.667935299714
"Malibagh, Dhaka",3 Bedroom,3500.0,5.0,275.0,3,7857.142857142857
"Block F, Bashundhara R-A, Dhaka",4 Bedroom,2400.0,4.0,130.0,4,5416.666666666667
"Block A, Banasree, Dhaka",2 BHK,1327.0,2.0,85.0,2,6405.42577241899
"Wari, Sutrapur, Dhaka",4 BHK,2912.0,6.0,210.0,4,7211.538461538462
"Shahidbag, Malibagh, Dhaka",2 BHK,1301.0,2.0,55.0,2,4227.517294388932
"Dhanmondi, Dhaka",1 BHK,650.0,1.0,30.0,1,4615.384615384615
"Block C, Banasree, Dhaka",3 Bedroom,1200.0,3.0,67.75,3,5645.833333333333
"Block A, Banasree, Dhaka",3 BHK,1500.0,2.0,89.99,3,5999.333333333333
"Bashabo, Dhaka",4 Bedroom,2700.0,6.0,675.0,4,25000.0
"Nikunja 2, Nikunja, Dhaka",4 Bedroom,1350.0,4.0,145.0,4,10740.74074074074
"Block A, Banasree, Dhaka",2 BHK,1000.0,2.0,28.88,2,2888.0
"Nikunja 2, Nikunja, Dhaka",2 BHK,984.0,2.0,45.91,2,4665.650406504065
"Block D, Section 12, Mirpur, Dhaka",3 BHK,1819.18,3.0,160.0,3,8795.17145087347
"Mohammadpur, Dhaka",1 Bedroom,900.0,1.0,175.0,1,19444.444444444445
"North Kamlapur, Kamlapur, Motijheel, Dhaka",3 BHK,1355.0,3.0,83.87,3,6189.667896678967
"Shegunbagicha, Dhaka",3 BHK,2145.0,4.0,270.0,3,12587.412587412588
"Kachukhet, Dhaka",3 BHK,2475.0,4.0,300.0,3,12121.212121212122
"Sobhanbagh, Tejgaon, Dhaka",2 BHK,1118.0,2.0,30.0,2,2683.3631484794278
"North Shahjahanpur, Dhaka",1 BHK,910.0,1.0,42.0,1,4615.384615384615
"Block A, Section 1, Mirpur, Dhaka",3 BHK,1250.0,3.0,39.0,3,3120.0
"Mohammadpur, Dhaka",2 BHK,1304.0,2.0,100.0,2,7668.711656441717
"Sector 11, Uttara, Dhaka",3 BHK,1615.0,3.0,58.0,3,3591.331269349845
"Nikunja 2, Nikunja, Dhaka",2 BHK,1400.0,2.0,68.0,2,4857.142857142857
"Mohammadpur, Dhaka",2 BHK,1070.0,2.0,47.5,2,4439.252336448598
"Mirpur, Dhaka",3 BHK,3500.0,3.0,395.0,3,11285.714285714286
"Block F, Banasree, Dhaka",2 BHK,1132.0,2.0,89.37,2,7894.876325088339
"Kachukhet, Dhaka",3 BHK,2000.0,3.0,85.0,3,4250.0
"Uttar Para, Khilkhet, Dhaka",7 Bedroom,2400.0,5.0,550.0,7,22916.666666666668
"Rajabazar, Tejgaon, Dhaka",1 BHK,794.0,1.0,65.0,1,8186.39798488665
"Sector 12, Uttara, Dhaka",2 BHK,1090.0,2.0,43.59,2,3999.0825688073396
"Gawair, Dakshin Khan, Dhaka",3 BHK,1500.0,3.0,70.0,3,4666.666666666667
"Dhanmondi, Dhaka",3 BHK,2059.0,3.0,225.0,3,10927.634774162214
"Badda, Dhaka",1 BHK,525.0,1.0,30.0,1,5714.285714285715
"Dhanmondi, Dhaka",2 BHK,1447.0,2.0,75.97,2,5250.172771250864
"Gawair, Dakshin Khan, Dhaka",2 BHK,1269.0,2.0,75.0,2,5910.16548463357
"Block G/1, Section 2, Mirpur, Dhaka",4 Bedroom,4800.0,4.0,700.0,4,14583.333333333334
"West Agargaon, Agargaon, Dhaka",2 BHK,1070.0,2.0,37.45,2,3500.0000000000005
"Natun Bazar, Badda, Dhaka",2 BHK,1150.0,2.0,28.0,2,2434.782608695652
"North Donia, Donia, Jatra Bari, Dhaka",2 BHK,1208.0,2.0,70.0,2,5794.701986754967
"Pallabi Extension, Pallabi, Mirpur, Dhaka",2 BHK,1185.0,2.0,45.5,2,3839.662447257384
"Section 12, Mirpur, Dhaka",3 Bedroom,1200.0,3.0,130.0,3,10833.333333333334
"Senpara Parbata, Section 10, Mirpur, Dhaka",2 BHK,888.0,2.0,34.0,2,3828.828828828829
