area_type,availability,location,size,society,total_sqft,bath,balcony,price
Plot  Area,Ready To Move,"Dhanmondi, Dhaka",6 Bedroom,N/A,2400,6,,245
Built-up  Area,18-Jun,"Dhanmondi, Dhaka",1 BHK,N/A,905,1,1,55
Built-up  Area,Ready To Move,"Dhanmondi, Dhaka",2 BHK,N/A,1069,2,,55
Super built-up  Area,19-Aug,"Dhanmondi, Dhaka",2 BHK,N/A,829,2,1,22.8
Built-up  Area,Ready To Move,"Dhanmondi, Dhaka",2 BHK,N/A,1900,2,1,200
Built-up  Area,Ready To Move,"Dhanmondi, Dhaka",5 Bedroom,N/A,3040Sq. Meter,5,1,140
Built-up  Area,Ready To Move,"Vatara, Badda, Dhaka",3 BHK,N/A,1300,3,2,60
Super built-up  Area,Ready To Move,"Vatara, Badda, Dhaka",2 BHK,N/A,1115,2,1,33.45
Super built-up  Area,Ready To Move,"Abur Tek, Khilkhet, Dhaka",3 BHK,N/A,2409,3,2,360
Super built-up  Area,Ready To Move,"Block D, Chandrima Model Town, Mohammadpur, Dhaka",3 BHK,N/A,2150,4,2,125
Super built-up  Area,19-Mar,"Pirerbag, Mirpur, Dhaka",3 BHK,N/A,1305,2,1,69
Super built-up  Area,20-Dec,"South Baridhara Residential Area,D. I. T. Project, Badda, Dhaka",2 BHK,N/A,1252,2,1,56.32
Plot  Area,Ready To Move,"Dhanmondi, Dhaka",5 Bedroom,N/A,2400,5,,250
Plot  Area,18-Sep,"Block D, Section 12, Mirpur, Dhaka",2 Bedroom,N/A,1200,2,1,46.13
Built-up  Area,Ready To Move,"Mohakhali, Dhaka",3 BHK,N/A,1750,3,1,130
Super built-up  Area,Ready To Move,"Kafrul, Dhaka",2 BHK,N/A,545,1,1,35
Plot  Area,Ready To Move,"Block B, Section 11, Mirpur, Dhaka",2 Bedroom,N/A,1375,2,1,105
Super built-up  Area,Ready To Move,"Sector 12, Uttara, Dhaka",2 BHK,N/A,1313,2,2,66.5
Plot  Area,Ready To Move,"Block B, Dhaka Uddan, Mohammadpur, Dhaka",4 Bedroom,N/A,3640,4,1,275
Super built-up  Area,20-Dec,"Mirpur, Dhaka",3 BHK,N/A,1693,3,2,108
Super built-up  Area,Ready To Move,"Block D, Section 12, Mirpur, Dhaka",2 BHK,N/A,1160,2,1,41.75
Plot  Area,Ready To Move,"Adabor, Dhaka",3 Bedroom,N/A,1200,3,0,200
Super built-up  Area,Ready To Move,"Hazaribag, Dhaka",3 BHK,N/A,1255,2,2,79
Plot  Area,Ready To Move,"Hazaribag, Dhaka",4 Bedroom,N/A,1000,4,1,75
Built-up  Area,Ready To Move,"Adabor, Dhaka",2 BHK,N/A,900,2,1,45
Super built-up  Area,Ready To Move,"Block C, Mansurabad Housing Society, Adabor, Dhaka",3 BHK,N/A,1700,3,2,90
Carpet  Area,Ready To Move,"Block C, Mansurabad Housing Society, Adabor, Dhaka",3 BHK,N/A,1875,3,1,180
Carpet  Area,Ready To Move,"East Kazipara, Mirpur, Dhaka",3 BHK,N/A,1700,3,2,88
Super built-up  Area,Ready To Move,"Zafrabad, Hazaribag, Dhaka",3 BHK,N/A,1749,3,2,115
Plot  Area,Ready To Move,"Nayatola, Maghbazar, Dhaka",2 Bedroom,N/A,1500,3,1,65
Super built-up  Area,Ready To Move,"Bonolota Abashik Elaka, West Agargaon, Agargaon, Dhaka",2 BHK,N/A,1175,2,1,48
Built-up  Area,Ready To Move,"Block K, South Banasree Project, Banasree, Dhaka",2 BHK,N/A,1280,2,1,60
Built-up  Area,Ready To Move,"Ibrahimpur, Dhaka",2 BHK,N/A,1200,2,2,50
Super built-up  Area,Ready To Move,"South Doniya, Doniya, Shyampur, Dhaka",3 BHK,N/A,1610,2,2,115
Super built-up  Area,Ready To Move,"Sector 14, Uttara, Dhaka",2 BHK,N/A,1070,2,1,46
Plot  Area,Ready To Move,"West Agargaon, Agargaon, Dhaka",2 Bedroom,N/A,1200,2,0,66
Super built-up  Area,19-Dec,"Block E, Section 12, Mirpur, Dhaka",2 BHK,N/A,1127,2,1,50
Built-up  Area,Ready To Move,"Fakirapool, Motijheel, Dhaka",2 BHK,N/A,1210,2,1,102
Built-up  Area,Ready To Move,"Block D, Section 12, Mirpur, Dhaka",2 BHK,N/A,600,2,1,23
Super built-up  Area,Ready To Move,"Baitul Aman Housing Society, Adabor, Dhaka",4 BHK,N/A,4190,4,3,380
Super built-up  Area,Ready To Move,"Mohakhali, Dhaka",2 BHK,N/A,1364,2,2,70
Super built-up  Area,Ready To Move,"Block E, Section 12, Mirpur, Dhaka",4 BHK,N/A,2268,3,0,146
Super built-up  Area,Ready To Move,"Block D, Mansurabad Housing Society, Adabor, Dhaka",3 BHK,N/A,1150,2,2,77.5
Super built-up  Area,Ready To Move,"Block E, Section 12, Mirpur, Dhaka",2 BHK,N/A,1146,2,1,39.5
Built-up  Area,Ready To Move,"Block E, Section 12, Mirpur, Dhaka",2 BHK,N/A,1345,2,2,55
Super built-up  Area,Ready To Move,"Tejgaon, Dhaka",2 BHK,N/A,1110,2,2,41
Built-up  Area,Ready To Move,"Block C, Section 12, Mirpur, Dhaka",2 BHK,N/A,750,2,1,36
Built-up  Area,Ready To Move,"Kalabagan, Dhaka",2 BHK,N/A,1156,2,2,49.5
Super built-up  Area,Ready To Move,"PC Culture Housing, Mohammadpur, Dhaka",2 BHK,N/A,1247,2,1,59.8
Super built-up  Area,Ready To Move,"North Shahjahanpur, Dhaka",2 BHK,N/A,1058,2,2,60
Super built-up  Area,Ready To Move,"PC Culture Housing, Mohammadpur, Dhaka",2 BHK,N/A,950,2,1,48
Super built-up  Area,Ready To Move,"Block G, Banasree, Dhaka",2 BHK,N/A,420,2,0,35
Plot  Area,Ready To Move,"Block E, Section 12, Mirpur, Dhaka",4 Bedroom,N/A,600,2,2,90
Super built-up  Area,21-Jun,"Block B, Banasree, Dhaka",3 BHK,N/A,1520,2,1,103
Super built-up  Area,Ready To Move,"Block A, Section 11, Mirpur, Dhaka",2 BHK,N/A,1215,2,2,58.86
Built-up  Area,Ready To Move,"Block C, Banasree, Dhaka",1 BHK,N/A,900,1,1,30
Super built-up  Area,Ready To Move,"Block C, Banasree, Dhaka",3 BHK,N/A,2350,3,2,174
Super built-up  Area,Ready To Move,"Block C, Section 12, Mirpur, Dhaka",2 BHK,N/A,1050,2,2,46
Super built-up  Area,Ready To Move,"Block B, Banasree, Dhaka",3 BHK,N/A,1672,3,2,150
Plot  Area,Ready To Move,"Mohammadpur, Dhaka",5 Bedroom,N/A,2800,5,2,125
Super built-up  Area,Ready To Move,"Suchona Model Town, Bochila, Mohammadpur, Dhaka",3 BHK,N/A,1500,2,2,65
Super built-up  Area,Ready To Move,"Suchona Model Town, Bochila, Mohammadpur, Dhaka",2 BHK,N/A,1400,2,2,65
Plot  Area,18-May,"Suchona Model Town, Bochila, Mohammadpur, Dhaka",4 Bedroom,N/A,500Sq. Yards,4,2,378
Built-up  Area,Ready To Move,"Sector 9, Uttara, Dhaka",4 Bedroom,N/A,2700,4,2,130
Super built-up  Area,18-May,"Hazaribag, Dhaka",2 BHK,N/A,920,2,1,37.46
Plot  Area,18-Feb,"Avenue 3, Block B, Section 11, Mirpur, Dhaka",3 Bedroom,N/A,1200,3,2,70
Built-up  Area,Ready To Move,"Sonatangar, Jigatola, Hazaribag, Dhaka",3 BHK,N/A,1250,3,2,139
Super built-up  Area,18-Mar,"Avenue 3, Block B, Section 11, Mirpur, Dhaka",3 BHK,N/A,1817,4,,153
Plot  Area,Ready To Move,"Baitul Aman Housing Society, Adabor, Dhaka",5 Bedroom,N/A,2043,6,,375
Super built-up  Area,Ready To Move,"Bonolota Abashik Elaka, West Agargaon, Agargaon, Dhaka",2 BHK,N/A,1140,2,2,46
Built-up  Area,Ready To Move,"Jigatola, Hazaribag, Dhaka",4 Bedroom,N/A,4346,4,1,450
Super built-up  Area,Ready To Move,"Sonatangar, Jigatola, Hazaribag, Dhaka",2 BHK,N/A,1464,2,2,56
Super built-up  Area,Ready To Move,"Bonolota Abashik Elaka, West Agargaon, Agargaon, Dhaka",2 BHK,N/A,1468,3,2,130
Super built-up  Area,Ready To Move,"Block G, Banasree, Dhaka",3 BHK,N/A,1555,2,1,82
Plot  Area,Ready To Move,"Naya Paltan, Motijheel, Dhaka",6 Bedroom,N/A,1200,4,2,110
Built-up  Area,Ready To Move,"Baitul Aman Housing Society, Adabor, Dhaka",2 BHK,N/A,1150,2,0,55
Super built-up  Area,19-Oct,"Baitul Aman Housing Society, Adabor, Dhaka",2 BHK,N/A,970,2,1,35
Super built-up  Area,18-May,"Block J, Bashundhara R-A, Dhaka",4 BHK,N/A,2500,4,3,95
Super built-up  Area,Ready To Move,"West Kalachandpur, Kalachandpur, Dhaka",2 BHK,N/A,1166,2,1,53
Plot  Area,Ready To Move,"West Kalachandpur, Kalachandpur, Dhaka",3 Bedroom,N/A,2779,3,1,317
Super built-up  Area,Ready To Move,"Block D, Mansurabad Housing Society, Adabor, Dhaka",3 BHK,N/A,1350,3,2,58
Built-up  Area,Ready To Move,"Block D, Mansurabad Housing Society, Adabor, Dhaka",2 BHK,N/A,900,2,3,46
Super built-up  Area,Ready To Move,"Block D, Mansurabad Housing Society, Adabor, Dhaka",3 BHK,N/A,1300,2,2,52
Built-up  Area,Ready To Move,"Block K, South Banasree Project, Banasree, Dhaka",3 BHK,N/A,1190,3,1,55
Super built-up  Area,Ready To Move,"Gawair, Dakshin Khan, Dhaka",3 BHK,N/A,1495,2,2,75
Built-up  Area,Ready To Move,"Block K, Bashundhara R-A, Dhaka",2 BHK,N/A,1224,2,2,105
Super built-up  Area,Ready To Move,"Block G, Bashundhara R-A, Dhaka",3 BHK,N/A,1350,2,2,68
Built-up  Area,Ready To Move,"North Shahjahanpur, Dhaka",2 BHK,N/A,940,2,1,56.8
Super built-up  Area,Ready To Move,"Block I, Bashundhara R-A, Dhaka",2 BHK,N/A,1100,2,1,55
Super built-up  Area,Ready To Move,"Block D, Section 12, Mirpur, Dhaka",2 BHK,N/A,1300,2,2,61
Built-up  Area,Ready To Move,"Sector 3, Uttara, Dhaka",3 BHK,N/A,1480,2,0,145
Super built-up  Area,Ready To Move,"Block B, Banasree, Dhaka",2 BHK,N/A,1105,2,2,46.37
Plot  Area,17-Jun,"Block A, Banasree, Dhaka",3 Bedroom,N/A,2600,3,2,200
Super built-up  Area,21-Mar,"Block B, Banasree, Dhaka",3 BHK,N/A,1517,3,2,76.3
Built-up  Area,Ready To Move,"West Nakhalpara, Tejgaon, Dhaka",6 Bedroom,N/A,3800,8,0,200
Super built-up  Area,Ready To Move,"Sector 14, Uttara, Dhaka",3 BHK,N/A,1615,3,2,89.75
Super built-up  Area,Ready To Move,"Block E, Section 12, Mirpur, Dhaka",3 BHK,N/A,1500,3,2,65
Super built-up  Area,Ready To Move,"Baitul Aman Housing Society, Adabor, Dhaka",3 BHK,N/A,1082,3,1,50.5
Super built-up  Area,Ready To Move,"Pirerbag, Mirpur, Dhaka",2 BHK,N/A,1365,2,2,73
Super built-up  Area,Ready To Move,"Block K, South Banasree Project, Banasree, Dhaka",2 BHK,N/A,1000,2,3,25
Super built-up  Area,Ready To Move,"Block K, South Banasree Project, Banasree, Dhaka",2 BHK,N/A,1392,2,1,98
Super built-up  Area,18-Apr,"Block A, Bashundhara R-A, Dhaka",2 BHK,N/A,1086,2,1,33.66
Super built-up  Area,Ready To Move,"Dhanmondi, Dhaka",3 BHK,N/A,1586,3,3,93.94
Built-up  Area,Ready To Move,"Avenue 1, Mirpur DOHS, Mirpur, Dhaka",2 BHK,N/A,1100,2,1,60
Super built-up  Area,18-May,"Bochila Garden City, Bochila, Mohammadpur, Dhaka",2 BHK,N/A,1065,2,1,30.75
Plot  Area,Ready To Move,"Block A, Section 10, Mirpur, Dhaka",3 Bedroom,N/A,1500,2,1,120
Built-up  Area,Ready To Move,"North Shahjahanpur, Dhaka",3 BHK,N/A,1575,2,2,120
Super built-up  Area,Ready To Move,"Block B, Banasree, Dhaka",3 BHK,N/A,1975,3,3,123
Super built-up  Area,Ready To Move,"North Shahjahanpur, Dhaka",2 BHK,N/A,820,2,2,24
Super built-up  Area,Ready To Move,"Block C, Mansurabad Housing Society, Adabor, Dhaka",3 BHK,N/A,1745,3,2,110
Super built-up  Area,Ready To Move,"Block D, Section 12, Mirpur, Dhaka",2 BHK,N/A,1223,2,1,60
Super built-up  Area,Ready To Move,"West Shewrapara, Mirpur, Dhaka",3 BHK,N/A,1200,2,1,65
Super built-up  Area,Ready To Move,"PC Culture Housing, Mohammadpur, Dhaka",2 BHK,N/A,1200,2,0,90
Super built-up  Area,19-Dec,"South Mollartek, Dakshin Khan, Dhaka",1 BHK,N/A,665,1,1,46.08
Super built-up  Area,Ready To Move,"PC Culture Housing, Mohammadpur, Dhaka",2 BHK,N/A,1351,2,2,70
Super built-up  Area,18-Dec,"Shyamoli Housing (2nd Project), Adabor, Dhaka",3 BHK,N/A,1355,3,1,83.87
Built-up  Area,Ready To Move,"Nurer Chala, Badda, Dhaka",3 BHK,N/A,3900,3,2,300
Super built-up  Area,18-Nov,"North Bashabo, Bashabo, Dhaka",3 BHK,N/A,1588,3,1,75.55
Carpet  Area,Ready To Move,"Shantibag, Malibagh, Dhaka",2 BHK,N/A,900,2,1,60
Plot  Area,Ready To Move,"Block E, Arambag Residential Area, Pallabi, Mirpur, Dhaka",3 Bedroom,N/A,440,3,0,50
Built-up  Area,18-Feb,"Shantibag, Malibagh, Dhaka",4 Bedroom,N/A,3385,4,,260
Super built-up  Area,Ready To Move,"Shahidbag, Malibagh, Dhaka",3 BHK,N/A,1370,2,2,75
Plot  Area,18-Dec,"Tilpapara, Khilgaon, Dhaka",3 Bedroom,N/A,1500,3,1,71.8
Super built-up  Area,Ready To Move,"West Mollartek, Dakshin Khan, Dhaka",3 BHK,N/A,2280,3,,285
Super built-up  Area,21-Dec,"Block C, Bochila City Developers Ltd, Bochila, Mohammadpur, Dhaka",3 BHK,N/A,1100,3,2,53
Built-up  Area,Ready To Move,"East Monipur, Mirpur, Dhaka",2 BHK,N/A,1247,2,0,53
Super built-up  Area,19-Dec,"Shyamoli Housing (2nd Project), Adabor, Dhaka",3 BHK,N/A,2000,3,2,200
Super built-up  Area,18-Jul,"Mohammadpur, Dhaka",2 BHK,N/A,1020.07,2,1,68.38
Super built-up  Area,19-Dec,"Shyamoli Housing (2nd Project), Adabor, Dhaka",3 BHK,N/A,1033,2,2,32
Built-up  Area,Ready To Move,"Block C, Arambag Residential Area, Pallabi, Mirpur, Dhaka",3 BHK,N/A,1460,2,3,73
Super built-up  Area,Ready To Move,"Mohammadpur, Dhaka",2 BHK,N/A,1150,2,2,52.8
Super built-up  Area,Ready To Move,"Block A, Nobodoy Housing Society, Mohammadpur, Dhaka",5 BHK,N/A,5965,5,,385
Super built-up  Area,Ready To Move,"Tejgaon, Dhaka",2 BHK,N/A,1141,2,1,46
Super built-up  Area,Ready To Move,"Rajabazar, Tejgaon, Dhaka",4 BHK,N/A,2806 - 3019,6,0,125.5
Plot  Area,Ready To Move,"Block D, Section 12, Mirpur, Dhaka",4 Bedroom,N/A,4200,4,3,325
Super built-up  Area,18-Jul,"Block D, Section 12, Mirpur, Dhaka",3 BHK,N/A,1665,2,3,125
Super built-up  Area,18-Dec,"Shyamoli Housing, Shekhertek, Mohammadpur, Dhaka",2 BHK,N/A,1295,2,2,64
Super built-up  Area,18-Aug,"East Rampura, Rampura, Dhaka",2 BHK,N/A,1230,2,1,78
Super built-up  Area,Ready To Move,"East Rampura, Rampura, Dhaka",3 BHK,N/A,1080,2,2,75
Super built-up  Area,Ready To Move,"RK Mission Road, Gopibag, Motijheel, Dhaka",2 BHK,N/A,1000,2,1,60
Super built-up  Area,Ready To Move,"Block F, Banasree, Dhaka",3 BHK,N/A,2400,2,0,50
Super built-up  Area,19-Dec,"Kafrul, Dhaka",1 BHK,N/A,613 - 648,1,0,32.79
Super built-up  Area,18-May,"Shantibag, Malibagh, Dhaka",3 BHK,N/A,1708,3,2,75
Super built-up  Area,Ready To Move,"Ring Road, Mohammadpur, Dhaka",3 BHK,N/A,1697,3,2,115
Super built-up  Area,Ready To Move,"Naya Paltan, Motijheel, Dhaka",4 BHK,N/A,3537,5,3,210
Super built-up  Area,19-Mar,"Arambag Residential Area, Mirpur, Dhaka",1 BHK,N/A,615,1,1,28.29
Built-up  Area,Ready To Move,"Block F, Banasree, Dhaka",3 BHK,N/A,1350,2,0,83
Super built-up  Area,Ready To Move,"Manikdi, Cantonment, Dhaka",3 BHK,N/A,1430 - 1630,,,66.4
Super built-up  Area,19-Dec,"Naya Paltan, Motijheel, Dhaka",2 BHK,N/A,1083,2,1,32.49
Super built-up  Area,Ready To Move,"Block B, Chandrima Model Town, Mohammadpur, Dhaka",3 BHK,N/A,1460,2,2,65
Super built-up  Area,Ready To Move,"North Shahjahanpur, Dhaka",2 BHK,N/A,1084,2,1,58
Super built-up  Area,18-May,"Dhanmondi, Dhaka",2 BHK,N/A,1035,2,1,41.43
Super built-up  Area,Ready To Move,"Manikdi, Cantonment, Dhaka",3 BHK,N/A,2400,2,1,150
Super built-up  Area,Ready To Move,"Naya Paltan, Motijheel, Dhaka",1 BHK,N/A,460,1,1,21
Super built-up  Area,Ready To Move,"Block G, Banasree, Dhaka",5 BHK,N/A,950,5,,90
Super built-up  Area,Ready To Move,"East Shewrapara, Mirpur, Dhaka",2 BHK,N/A,1285,2,2,55.9
Super built-up  Area,Ready To Move,"Naya Paltan, Motijheel, Dhaka",19 BHK,N/A,2000,16,,490
Plot  Area,Ready To Move,"Block F, Banasree, Dhaka",3 Bedroom,N/A,1200,3,2,78
Built-up  Area,Ready To Move,"Naya Paltan, Motijheel, Dhaka",2 BHK,N/A,1070,2,1,35
Super built-up  Area,Ready To Move,"Mohammadpur, Dhaka",3 BHK,N/A,1801,3,2,140
Super built-up  Area,18-Dec,"Sector 3, Uttara, Dhaka",3 BHK,N/A,1697,3,2,115
Super built-up  Area,Ready To Move,"Cantonment, Dhaka",2 BHK,N/A,1199,2,2,65
Super built-up  Area,Ready To Move,"Kalachandpur, Dhaka",3 BHK,N/A,2300,3,1,220
Super built-up  Area,Ready To Move,"Sector 9, Uttara, Dhaka",3 BHK,N/A,1340,2,3,64.31
Super built-up  Area,Ready To Move,"Naya Paltan, Motijheel, Dhaka",4 BHK,N/A,3800,4,3,205
Plot  Area,Ready To Move,"West Katashur, Katashur, Mohammadpur, Dhaka",5 Bedroom,N/A,600,5,,50
Super built-up  Area,Ready To Move,"Block D, Dhaka Uddan, Mohammadpur, Dhaka",2 BHK,N/A,1125,2,1,75
Plot  Area,Ready To Move,"Sector 11, Uttara, Dhaka",2 Bedroom,N/A,1200,2,1,67
Built-up  Area,Ready To Move,"West Rampura, Rampura, Dhaka",2 BHK,N/A,1050,2,3,41
Built-up  Area,Ready To Move,"Mohakhali, Dhaka",2 BHK,N/A,956,2,1,49
Super built-up  Area,Ready To Move,"Mohakhali, Dhaka",2 BHK,N/A,1000,2,2,30
Built-up  Area,Ready To Move,"Dhanmondi, Dhaka",3 BHK,N/A,1596,3,0,95
Plot  Area,Ready To Move,"Dhanmondi, Dhaka",6 Bedroom,N/A,1200,5,1,150
Super built-up  Area,19-Jul,"Gawair, Dakshin Khan, Dhaka",2 BHK,N/A,1296,2,3,89.06
Plot  Area,Ready To Move,"Bashabo, Dhaka",6 Bedroom,N/A,1200,7,,170
Built-up  Area,Ready To Move,"Boshoty Housing, Borobag, Section 2, Mirpur, Dhaka",3 BHK,N/A,1639,3,3,123
Super built-up  Area,Ready To Move,"Boshoty Housing, Borobag, Section 2, Mirpur, Dhaka",2 BHK,N/A,1219,2,1,61.25
Built-up  Area,Ready To Move,"Suchona Model Town, Bochila, Mohammadpur, Dhaka",3 BHK,N/A,1200,3,1,50
Super built-up  Area,Ready To Move,"Suchona Model Town, Bochila, Mohammadpur, Dhaka",2 BHK,N/A,1218,2,1,73
Super built-up  Area,Ready To Move,"Agargaon, Dhaka",2 BHK,N/A,920,2,3,37
Super built-up  Area,Ready To Move,"Rampura, Dhaka",3 BHK,N/A,2559,3,2,141
Super built-up  Area,22-Dec,"Shyamoli Housing, Shekhertek, Mohammadpur, Dhaka",1 BHK,N/A,525,1,1,26
Super built-up  Area,18-Feb,"Section 1, Mirpur, Dhaka",3 BHK,N/A,1427,2,2,48.51
Super built-up  Area,18-Apr,"Latif Real Estate, Katashur, Mohammadpur, Dhaka",3 BHK,N/A,1270,3,2,45
Built-up  Area,Ready To Move,"Block A, Nobodoy Housing Society, Mohammadpur, Dhaka",2 BHK,N/A,920,2,3,65
Built-up  Area,Ready To Move,"Sector 13, Uttara, Dhaka",4 Bedroom,N/A,2700,3,2,68
Super built-up  Area,Ready To Move,"Badda, Dhaka",3 BHK,N/A,1740,3,2,199
Built-up  Area,Ready To Move,"Farmgate, Tejgaon, Dhaka",3 BHK,N/A,1355,2,,40
Super built-up  Area,Ready To Move,"Agargaon, Dhaka",3 BHK,N/A,1530,2,2,90
Carpet  Area,Ready To Move,"Kalachandpur, Dhaka",3 BHK,N/A,1372,2,1,90
Super built-up  Area,Ready To Move,"Purbanchal Road, Uttar Badda, Badda, Dhaka",4 BHK,N/A,2363,5,2,120
Super built-up  Area,Ready To Move,"Block E, South Banasree Project, Banasree, Dhaka",4 BHK,N/A,3895,4,3,220
Super built-up  Area,20-Jun,"East Rampura, Rampura, Dhaka",3 BHK,N/A,1950,3,2,131
Built-up  Area,Ready To Move,"Baitul Aman Housing Society, Adabor, Dhaka",2 BHK,N/A,885,2,3,40
Built-up  Area,Ready To Move,"West Nakhalpara, Tejgaon, Dhaka",2 BHK,N/A,600,2,2,27
Plot  Area,Ready To Move,"Dhanmondi, Dhaka",5 Bedroom,N/A,1270,4,1,128
Plot  Area,Ready To Move,"Dhanmondi, Dhaka",2 Bedroom,N/A,1380,2,0,225
Super built-up  Area,Ready To Move,"Dhanmondi, Dhaka",2 BHK,N/A,1339,2,2,62
Super built-up  Area,Ready To Move,"Dhanmondi, Dhaka",2 BHK,N/A,1130,2,1,36
Built-up  Area,Ready To Move,"Dhanmondi, Dhaka",2 BHK,N/A,1085,2,2,43
Built-up  Area,Ready To Move,"Dhanmondi, Dhaka",3 BHK,N/A,1430,3,2,72
Carpet  Area,18-Dec,"Dhanmondi, Dhaka",4 BHK,N/A,1451.5,4,1,121
Super built-up  Area,Ready To Move,"Dhanmondi, Dhaka",5 BHK,N/A,6200,5,,720
Super built-up  Area,Ready To Move,"PC Culture Housing, Mohammadpur, Dhaka",3 BHK,N/A,1490,2,1,59.6
Built-up  Area,Ready To Move,"East Rampura, Rampura, Dhaka",4 BHK,N/A,1650,4,0,99
Super built-up  Area,Ready To Move,"PC Culture Housing, Mohammadpur, Dhaka",2 BHK,N/A,1286,2,2,57
Built-up  Area,Ready To Move,"Block E, Section 12, Mirpur, Dhaka",2 BHK,N/A,925,2,2,63
Super built-up  Area,Ready To Move,"Mohammadpur, Dhaka",4 BHK,N/A,3016,4,3,230
Built-up  Area,Ready To Move,"Block D, Section 12, Mirpur, Dhaka",2 BHK,N/A,1000,2,2,44
Super built-up  Area,Ready To Move,"Block D, Section 12, Mirpur, Dhaka",2 BHK,N/A,1215,2,2,39
Plot  Area,Ready To Move,"Swapnodhara Housing, Bochila, Mohammadpur, Dhaka",4 Bedroom,N/A,1200,3,1,95
Super built-up  Area,Ready To Move,"Block D, Mansurabad Housing Society, Adabor, Dhaka",2 BHK,N/A,1336,2,2,100
Super built-up  Area,Ready To Move,"South Maniknagar, Maniknagar, Dhaka",1 BHK,N/A,673,1,1,36.85
Plot  Area,Ready To Move,"West Maniknagar, Maniknagar, Dhaka",2 Bedroom,N/A,1200,2,1,58
Plot  Area,Ready To Move,"Katabon, New Market, Dhaka",6 Bedroom,N/A,600,7,2,63
Super built-up  Area,Ready To Move,"Sector 5, Uttara, Dhaka",3 BHK,N/A,1600,3,3,160
Plot  Area,Ready To Move,"PC Culture Housing, Mohammadpur, Dhaka",2 Bedroom,N/A,1200,2,0,79
Plot  Area,Ready To Move,"Maniknagar, Dhaka",6 Bedroom,N/A,2480,4,1,750
Super built-up  Area,18-Apr,"West Nakhalpara, Tejgaon, Dhaka",3 BHK,N/A,2500,3,,270
Plot  Area,Ready To Move,"West Nakhalpara, Tejgaon, Dhaka",5 Bedroom,N/A,2400,5,3,100
Super built-up  Area,Ready To Move,"Badda, Dhaka",2 BHK,N/A,1143,2,2,65
Super built-up  Area,Ready To Move,"Block L, Bashundhara R-A, Dhaka",2 BHK,N/A,1470,2,2,61.74
Plot  Area,Ready To Move,"Shyamoli Housing (2nd Project), Adabor, Dhaka",4 Bedroom,N/A,1584,3,2,145
Super built-up  Area,Ready To Move,"Block A, Section 10, Mirpur, Dhaka",3 BHK,N/A,1785,3,2,94
Super built-up  Area,Ready To Move,"Mohammadi Housing LTD., Mohammadpur, Dhaka",3 BHK,N/A,2292,3,2,286
Super built-up  Area,Ready To Move,"Mohammadpur, Dhaka",3 BHK,N/A,1460,3,3,71
Super built-up  Area,Ready To Move,"Bashundhara R-A, Dhaka",3 BHK,N/A,1500,2,3,80
Plot  Area,Ready To Move,"Badda, Dhaka",5 Bedroom,N/A,1200,4,1,140
Built-up  Area,Ready To Move,"Adabor, Dhaka",5 BHK,N/A,3300,3,,250
Super built-up  Area,Ready To Move,"North Shahjahanpur, Dhaka",2 BHK,N/A,1230,2,2,48
Super built-up  Area,Ready To Move,"Block L, Bashundhara R-A, Dhaka",1 BHK,N/A,650,1,1,20
Super built-up  Area,Ready To Move,"Block A, Bashundhara R-A, Dhaka",2 BHK,N/A,1480,2,,120
Super built-up  Area,Ready To Move,"Naya Paltan, Motijheel, Dhaka",2 BHK,N/A,1220,2,1,43.92
Super built-up  Area,Ready To Move,"Shahjahanpur, Dhaka",3 BHK,N/A,1570,3,1,115
Built-up  Area,Ready To Move,"Joar Sahara, Dhaka",3 BHK,N/A,3000,3,3,400
Super built-up  Area,Ready To Move,"Block L, Bashundhara R-A, Dhaka",3 BHK,N/A,1665,3,2,86.91
Plot  Area,Ready To Move,"Block B, Chandrima Model Town, Mohammadpur, Dhaka",3 Bedroom,N/A,1350,3,1,380
Plot  Area,Ready To Move,"Hazaribag, Dhaka",4 Bedroom,N/A,4000,5,2,600
Plot  Area,Ready To Move,"Hazaribag, Dhaka",2 Bedroom,N/A,1100,2,0,68
Super built-up  Area,Ready To Move,"Mohakhali, Dhaka",3 BHK,N/A,1350,2,1,87.01
Built-up  Area,Ready To Move,"Section 2, Mirpur, Dhaka",3 BHK,N/A,1719,3,2,116
Super built-up  Area,Ready To Move,"Lake View Society, South Pirerbag, Pirerbag, Mirpur, Dhaka",1 BHK,N/A,664,1,1,35
Super built-up  Area,18-Dec,"Lake View Society, South Pirerbag, Pirerbag, Mirpur, Dhaka",2 BHK,N/A,1011,2,1,50.53
Built-up  Area,Ready To Move,"Section 12, Mirpur, Dhaka",6 Bedroom,N/A,2400,6,0,130
Super built-up  Area,Ready To Move,"Kalabagan, Dhaka",3 BHK,N/A,1680,3,2,85
Super built-up  Area,Ready To Move,"Block K, South Banasree Project, Banasree, Dhaka",2 BHK,N/A,704 - 730,2,0,49.475
Plot  Area,Ready To Move,"Shegunbagicha, Dhaka",4 Bedroom,N/A,700,4,2,110
Super built-up  Area,Ready To Move,"West Kalachandpur, Kalachandpur, Dhaka",3 BHK,N/A,1520,2,2,150
Carpet  Area,Ready To Move,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",3 BHK,N/A,1350,2,2,53
Super built-up  Area,15-Nov,"North Ibrahimpur, Ibrahimpur, Dhaka",3 BHK,N/A,1760,3,,150
